"Slug","Order","Project Name","Background Image","Background Image:alt","Website Preview","Website Preview:alt","Story Title (If needed)","Story Description","Button Text","Button Link"
"flokalundur","9","Flókalundur","https://framerusercontent.com/images/jQYa4eIVV9bnbVkIBaTtiatXw9Q.png","","https://framerusercontent.com/images/s4aTr3ly3wBRqJB86dhmnnOutKI.png","","","Flókalundur is a place for those who crave the real Iceland. Set deep in untouched wilderness, this is where raw nature takes the lead. Step outside and explore endless landscapes, breathe in the silence, and soak in a natural hot spring just across the hotel. ","flokalundur.is","flokalundur.is"
"exeter-hotel","5","Exeter hotel","https://framerusercontent.com/images/430aUS955wzVCsKKTiIED8G48tI.png","","https://framerusercontent.com/images/j5dJW9CDsK4dFxR9AH0Ra2WgAw.png","","","In the heart of Reykjavik, the Exeter Hotel serves as an ideal base for exploring the city's culture, cuisine, and sights. Its modernly decorated rooms and suites ensure a comfortable and memorable stay.","exeter.is","exeter.is"
"oddsson","6","ODDSSON","https://framerusercontent.com/images/qLrQlTuh4DSo6KSrhvRV1vYwML0.png","","https://framerusercontent.com/images/df7XUl18EKoDM5ugkgSmeU2QAVc.png","","","A refined hotel website inspired by Scandinavian simplicity and effortless comfort. The calm, editorial design showcases the hotel’s style and experience, built in Framer for seamless content management.","oddsson.is","oddsson.is"
"knox-hotels","4","Knox Hotels","https://framerusercontent.com/images/4BnUZOg7DbYMh12ToDZ58M9d1lw.png","","https://framerusercontent.com/images/sYKQHRjiQaprmBxdcBdNXN3Hra8.png","","","Knox Hotel Group is built on a belief that hotels can be more than just a place to stay.
Knox Hotel Group curate destinations that reflect Iceland’s spirit — authentic, refined, and forward-thinking.","knoxhotels.is","knoxhotels.is"
"blue-vacations","3","Blue Vacations","https://framerusercontent.com/images/aI02cWqB0ktqjs3JJbGabV1CI.png","","https://framerusercontent.com/images/vUZzJxF9ljCxJ6AGARuHoBtnYNU.png","","","Blue Hotel is located in the center of Reykholt Village. A recently built 40 room hotel made in the spirit of our old guesthouse which is now our reception and breakfast hall. They guests enjoy the relaxing atmosphere among trees and Icelandic nature.","bluevacations",""
"hotel-eyja","10","Hotel Eyja","https://framerusercontent.com/images/x3rImDWlhifwE1hY5CcgkGxNtw.webp","","https://framerusercontent.com/images/cgtunbVd6b2wA4m2yB2sjXrbB8.webp","","","A refined hotel website inspired by Scandinavian simplicity and effortless comfort. The calm, editorial design showcases the hotel’s style and experience, built in Framer for seamless content management.","hoteleyja.is","hoteleyja.is"
"hotel-muli","11","Hótel Múli","https://framerusercontent.com/images/MK6ElylQ03zcqyi3ajbhrgk8.webp","","https://framerusercontent.com/images/Wr1dDvtiWWNuiEKQ4pph0NKQ4.webp","","","An urban hotel website reflecting its Reykjavík location and cozy city character. The design balances practicality with warmth and is built in Framer to make updates fast and straightforward.","hotelmuli.is","hotelmuli.is"
"konvin-hotel","7","Konvin Hotel","https://framerusercontent.com/images/OCVwef22VPt2hIlf0jG2cc41U.webp","","https://framerusercontent.com/images/Azr3aKVGBV2bpOPWux8IfJThSn8.webp","","","A clean and welcoming hotel website that highlights Iceland as a destination while guiding guests effortlessly through the booking journey. Designed with clarity and simplicity in mind, and built in Framer for easy content control.","konvin.is","konvin.is"
"black-sand-hotel","8","Black Sand Hotel","https://framerusercontent.com/images/HRdBGiD6nS9BEfDz7TIaphVCTE.webp","","https://framerusercontent.com/images/an0wD6jCNA1tfZ7bIAXozw3WQXA.webp","","","A bold, modern hotel website influenced by Iceland’s dramatic landscapes and volcanic surroundings. The design emphasizes strong visuals and a confident tone, built in Framer to allow flexible updates and smooth day-to-day maintenance.","blacksandhotel.is","blacksandhotel.is"
"aurora-farm-hotel","2","Aurora Farm Hotel","https://framerusercontent.com/images/8TUt6P1h3MsKAmarBhnQYDKg.webp","","https://framerusercontent.com/images/v8572N4MokVnSy7zgk8rJFyV998.webp","","","A hotel website inspired by Icelandic nature and rural calm, reflecting the peaceful atmosphere of the countryside. Designed with a warm, minimal aesthetic and built in Framer for simple content updates and easy ongoing management.","aurorafarmhotel.com","aurorafarmhotel.com"
"hitels","1","Hitels","https://framerusercontent.com/images/zEa7V3K2oKtVa4gO6DAwhf1eRQ.webp","","","","Empowering Icelandic Hotels for Success","At Hitels, our mission is to empower Icelandic hotels with advanced, data-driven tools. ","Get a quote","/contact-us"
